Activity ID,Contact ID,Account ID,Activity Date,Campaign Name,Channel,Activity Type,Asset Name,UTM Source,UTM Medium,UTM Campaign,Engagement Score Impact,Lead Stage at Time of Touch,Summary
f077503a,5c942f42,c632e010,2025-01-23,2025 Demand Gen Webinar,Email,Clicked Email,2025 Buying Guide,email,organic,2025_demand_gen_webinar,15,SQL,Clicked Email from campaign '2025 Demand Gen Webinar' via Email. Asset: 2025 Buying Guide.
d01a7c3c,5c942f42,c632e010,2025-02-14,Spring Nurture Email Series,Email,Submitted Form,2025 Buying Guide,email,organic,spring_nurture_email_series,15,MQL,Submitted Form from campaign 'Spring Nurture Email Series' via Email. Asset: 2025 Buying Guide.
adaa9bd7,5c942f42,c632e010,2025-02-03,LinkedIn Sponsored Post,Website,Visited Homepage,ROI Calculator,website,organic,linkedin_sponsored_post,5,MQL,Visited Homepage from campaign 'LinkedIn Sponsored Post' via Website. Asset: ROI Calculator.
78b5e48f,5c942f42,c632e010,2025-03-11,Tech Conference 2025,Website,Visited Homepage,Gartner Magic Quadrant,website,organic,tech_conference_2025,13,Subscriber,Visited Homepage from campaign 'Tech Conference 2025' via Website. Asset: Gartner Magic Quadrant.
ef0060b8,b7179162,8036786c,2025-05-03,AI for Marketers Guide,Webinar,Registered Webinar,,webinar,organic,ai_for_marketers_guide,3,Subscriber,Registered Webinar from campaign 'AI for Marketers Guide' via Webinar. Asset: .
65f8303a,8894b92f,7b187336,2025-04-15,2025 Demand Gen Webinar,Email,Opened Email,Gartner Magic Quadrant,email,organic,2025_demand_gen_webinar,14,SQL,Opened Email from campaign '2025 Demand Gen Webinar' via Email. Asset: Gartner Magic Quadrant.
f8a2f518,8894b92f,7b187336,2025-04-19,Gartner Report Promo,Webinar,Registered Webinar,,webinar,organic,gartner_report_promo,8,MQL,Registered Webinar from campaign 'Gartner Report Promo' via Webinar. Asset: .
bdd62b0f,8894b92f,7b187336,2025-02-02,Spring Nurture Email Series,Paid Ad,Viewed Ad,Blog: AI in RevOps,paid_ad,cpc,spring_nurture_email_series,15,SQL,Viewed Ad from campaign 'Spring Nurture Email Series' via Paid Ad. Asset: Blog: AI in RevOps.
e0d0d2cb,8894b92f,7b187336,2025-03-08,Spring Nurture Email Series,Organic Social,Viewed Organic Video,,organic_social,organic,spring_nurture_email_series,5,MQL,Viewed Organic Video from campaign 'Spring Nurture Email Series' via Organic Social. Asset: .
abd54e6f,8894b92f,7b187336,2025-03-10,LinkedIn Sponsored Post,Website,Downloaded Guide,ROI Calculator,website,organic,linkedin_sponsored_post,11,MQL,Downloaded Guide from campaign 'LinkedIn Sponsored Post' via Website. Asset: ROI Calculator.
0d0702ca,6e60e23d,243f3f59,2025-02-14,AI for Marketers Guide,Paid Ad,Viewed Ad,Demo Video,paid_ad,cpc,ai_for_marketers_guide,10,SQL,Viewed Ad from campaign 'AI for Marketers Guide' via Paid Ad. Asset: Demo Video.
7761246d,6e60e23d,243f3f59,2025-04-29,Spring Nurture Email Series,Email,Submitted Form,ROI Calculator,email,organic,spring_nurture_email_series,9,Subscriber,Submitted Form from campaign 'Spring Nurture Email Series' via Email. Asset: ROI Calculator.
4a297a02,6e60e23d,243f3f59,2025-03-14,2025 Demand Gen Webinar,Event,Registered Event,,event,organic,2025_demand_gen_webinar,5,Lead,Registered Event from campaign '2025 Demand Gen Webinar' via Event. Asset: .
80d85568,6e60e23d,243f3f59,2025-02-22,Gartner Report Promo,Organic Social,Viewed Organic Video,,organic_social,organic,gartner_report_promo,14,SQL,Viewed Organic Video from campaign 'Gartner Report Promo' via Organic Social. Asset: .
339ff1cc,a8a12330,8c1f39a6,2025-01-20,Tech Conference 2025,Website,Visited Homepage,Gartner Magic Quadrant,website,organic,tech_conference_2025,13,Subscriber,Visited Homepage from campaign 'Tech Conference 2025' via Website. Asset: Gartner Magic Quadrant.
64cf525d,a8a12330,8c1f39a6,2025-04-17,AI for Marketers Guide,Webinar,Registered Webinar,,webinar,organic,ai_for_marketers_guide,6,Subscriber,Registered Webinar from campaign 'AI for Marketers Guide' via Webinar. Asset: .
6b4e4039,7ce88ef5,ea4ba26d,2025-04-14,LinkedIn Sponsored Post,Organic Social,Viewed Organic Video,,organic_social,organic,linkedin_sponsored_post,5,MQL,Viewed Organic Video from campaign 'LinkedIn Sponsored Post' via Organic Social. Asset: .
9300260e,e42d1f39,5f7ad646,2025-01-19,Spring Nurture Email Series,Paid Ad,Clicked Ad,Blog: AI in RevOps,paid_ad,cpc,spring_nurture_email_series,12,Subscriber,Clicked Ad from campaign 'Spring Nurture Email Series' via Paid Ad. Asset: Blog: AI in RevOps.
cee1fc35,e42d1f39,5f7ad646,2025-04-29,Gartner Report Promo,Webinar,Registered Webinar,,webinar,organic,gartner_report_promo,6,Subscriber,Registered Webinar from campaign 'Gartner Report Promo' via Webinar. Asset: .
e100415f,29b855ea,419cc460,2025-03-27,2025 Demand Gen Webinar,Website,Downloaded Guide,2025 Buying Guide,website,organic,2025_demand_gen_webinar,3,MQL,Downloaded Guide from campaign '2025 Demand Gen Webinar' via Website. Asset: 2025 Buying Guide.
e1d5736e,29b855ea,419cc460,2025-02-24,Tech Conference 2025,Website,Visited Homepage,2025 Buying Guide,website,organic,tech_conference_2025,13,Subscriber,Visited Homepage from campaign 'Tech Conference 2025' via Website. Asset: 2025 Buying Guide.
f70b18f2,29b855ea,419cc460,2025-02-07,LinkedIn Sponsored Post,Email,Opened Email,ROI Calculator,email,organic,linkedin_sponsored_post,10,MQL,Opened Email from campaign 'LinkedIn Sponsored Post' via Email. Asset: ROI Calculator.
23361041,29b855ea,419cc460,2025-04-05,2025 Demand Gen Webinar,Website,Downloaded Guide,Gartner Magic Quadrant,website,organic,2025_demand_gen_webinar,7,Subscriber,Downloaded Guide from campaign '2025 Demand Gen Webinar' via Website. Asset: Gartner Magic Quadrant.
737c9c6d,29b855ea,419cc460,2025-01-24,Spring Nurture Email Series,Website,Downloaded Guide,2025 Buying Guide,website,organic,spring_nurture_email_series,7,SQL,Downloaded Guide from campaign 'Spring Nurture Email Series' via Website. Asset: 2025 Buying Guide.
2c4c374f,64f68ecb,8c1f39a6,2025-01-16,LinkedIn Sponsored Post,Paid Ad,Viewed Ad,2025 Buying Guide,paid_ad,cpc,linkedin_sponsored_post,10,SQL,Viewed Ad from campaign 'LinkedIn Sponsored Post' via Paid Ad. Asset: 2025 Buying Guide.
d9285049,64f68ecb,8c1f39a6,2025-04-11,AI for Marketers Guide,Website,Visited Pricing Page,Gartner Magic Quadrant,website,organic,ai_for_marketers_guide,15,Lead,Visited Pricing Page from campaign 'AI for Marketers Guide' via Website. Asset: Gartner Magic Quadrant.
dc366057,64f68ecb,8c1f39a6,2025-03-28,2025 Demand Gen Webinar,Event,Attended Event,,event,organic,2025_demand_gen_webinar,6,SQL,Attended Event from campaign '2025 Demand Gen Webinar' via Event. Asset: .
20efbb45,4c480083,05619ba9,2025-03-10,2025 Demand Gen Webinar,Organic Social,Viewed Organic Video,,organic_social,organic,2025_demand_gen_webinar,6,Subscriber,Viewed Organic Video from campaign '2025 Demand Gen Webinar' via Organic Social. Asset: .
2a8380d3,4c480083,05619ba9,2025-04-06,AI for Marketers Guide,Email,Opened Email,ROI Calculator,email,organic,ai_for_marketers_guide,9,SQL,Opened Email from campaign 'AI for Marketers Guide' via Email. Asset: ROI Calculator.
8faf6a32,4c480083,05619ba9,2025-03-15,AI for Marketers Guide,Paid Ad,Clicked Ad,Demo Video,paid_ad,cpc,ai_for_marketers_guide,3,SQL,Clicked Ad from campaign 'AI for Marketers Guide' via Paid Ad. Asset: Demo Video.
c45181a3,e92d3a07,9090a1cc,2025-01-30,AI for Marketers Guide,Event,Registered Event,,event,organic,ai_for_marketers_guide,7,MQL,Registered Event from campaign 'AI for Marketers Guide' via Event. Asset: .
5f17e141,e92d3a07,9090a1cc,2025-02-05,Spring Nurture Email Series,Organic Social,Viewed Organic Video,,organic_social,organic,spring_nurture_email_series,11,SQL,Viewed Organic Video from campaign 'Spring Nurture Email Series' via Organic Social. Asset: .
789d87d2,e92d3a07,9090a1cc,2025-02-21,Tech Conference 2025,Webinar,Attended Webinar,,webinar,organic,tech_conference_2025,7,MQL,Attended Webinar from campaign 'Tech Conference 2025' via Webinar. Asset: .
c9dced5e,cba0d93d,9f0846d2,2025-02-08,Spring Nurture Email Series,Organic Social,Viewed Organic Video,,organic_social,organic,spring_nurture_email_series,4,Subscriber,Viewed Organic Video from campaign 'Spring Nurture Email Series' via Organic Social. Asset: .
4fc751b1,cba0d93d,9f0846d2,2025-02-26,LinkedIn Sponsored Post,Website,Visited Homepage,2025 Buying Guide,website,organic,linkedin_sponsored_post,13,Lead,Visited Homepage from campaign 'LinkedIn Sponsored Post' via Website. Asset: 2025 Buying Guide.
a28ce359,cba0d93d,9f0846d2,2025-01-11,LinkedIn Sponsored Post,Event,Attended Event,,event,organic,linkedin_sponsored_post,3,SQL,Attended Event from campaign 'LinkedIn Sponsored Post' via Event. Asset: .
7835493f,cba0d93d,9f0846d2,2025-04-09,Gartner Report Promo,Website,Visited Pricing Page,Demo Video,website,organic,gartner_report_promo,7,SQL,Visited Pricing Page from campaign 'Gartner Report Promo' via Website. Asset: Demo Video.
92e959ef,31496dcf,243f3f59,2025-04-19,Spring Nurture Email Series,Organic Social,Clicked LinkedIn Post,,organic_social,organic,spring_nurture_email_series,10,MQL,Clicked LinkedIn Post from campaign 'Spring Nurture Email Series' via Organic Social. Asset: .
7b9045a6,31496dcf,243f3f59,2025-03-11,Tech Conference 2025,Email,Clicked Email,Blog: AI in RevOps,email,organic,tech_conference_2025,15,SQL,Clicked Email from campaign 'Tech Conference 2025' via Email. Asset: Blog: AI in RevOps.
bd601c87,31496dcf,243f3f59,2025-01-19,Gartner Report Promo,Webinar,Registered Webinar,,webinar,organic,gartner_report_promo,14,MQL,Registered Webinar from campaign 'Gartner Report Promo' via Webinar. Asset: .
e2a1e27a,31496dcf,243f3f59,2025-02-13,LinkedIn Sponsored Post,Email,Submitted Form,ROI Calculator,email,organic,linkedin_sponsored_post,13,Lead,Submitted Form from campaign 'LinkedIn Sponsored Post' via Email. Asset: ROI Calculator.
c6a884f1,31496dcf,243f3f59,2025-02-21,AI for Marketers Guide,Email,Submitted Form,ROI Calculator,email,organic,ai_for_marketers_guide,9,MQL,Submitted Form from campaign 'AI for Marketers Guide' via Email. Asset: ROI Calculator.
b0d9449c,e44466d9,fe506cce,2025-02-18,2025 Demand Gen Webinar,Website,Visited Homepage,ROI Calculator,website,organic,2025_demand_gen_webinar,12,Subscriber,Visited Homepage from campaign '2025 Demand Gen Webinar' via Website. Asset: ROI Calculator.
059491d8,e44466d9,fe506cce,2025-01-30,LinkedIn Sponsored Post,Organic Social,Viewed Organic Video,,organic_social,organic,linkedin_sponsored_post,12,MQL,Viewed Organic Video from campaign 'LinkedIn Sponsored Post' via Organic Social. Asset: .
3ecd2723,e44466d9,fe506cce,2025-03-26,LinkedIn Sponsored Post,Event,Attended Event,,event,organic,linkedin_sponsored_post,15,MQL,Attended Event from campaign 'LinkedIn Sponsored Post' via Event. Asset: .
da3c3d70,e44466d9,fe506cce,2025-01-06,AI for Marketers Guide,Organic Social,Viewed Organic Video,,organic_social,organic,ai_for_marketers_guide,12,SQL,Viewed Organic Video from campaign 'AI for Marketers Guide' via Organic Social. Asset: .
b4432862,8b854fba,f87a2032,2025-02-14,Spring Nurture Email Series,Organic Social,Clicked LinkedIn Post,,organic_social,organic,spring_nurture_email_series,5,MQL,Clicked LinkedIn Post from campaign 'Spring Nurture Email Series' via Organic Social. Asset: .
0035f646,8b854fba,f87a2032,2025-02-19,Tech Conference 2025,Email,Clicked Email,2025 Buying Guide,email,organic,tech_conference_2025,4,MQL,Clicked Email from campaign 'Tech Conference 2025' via Email. Asset: 2025 Buying Guide.
4ef2570f,8b854fba,f87a2032,2025-03-24,Tech Conference 2025,Event,Attended Event,,event,organic,tech_conference_2025,5,Lead,Attended Event from campaign 'Tech Conference 2025' via Event. Asset: .
54172637,ea8622d8,1244f342,2025-03-09,Spring Nurture Email Series,Event,Registered Event,,event,organic,spring_nurture_email_series,14,SQL,Registered Event from campaign 'Spring Nurture Email Series' via Event. Asset: .
dd6939eb,149987cd,6.18E+14,2025-02-26,Spring Nurture Email Series,Webinar,Registered Webinar,,webinar,organic,spring_nurture_email_series,15,MQL,Registered Webinar from campaign 'Spring Nurture Email Series' via Webinar. Asset: .
61fa914c,e2c825ad,4b907b98,2025-04-11,2025 Demand Gen Webinar,Organic Social,Clicked LinkedIn Post,,organic_social,organic,2025_demand_gen_webinar,6,MQL,Clicked LinkedIn Post from campaign '2025 Demand Gen Webinar' via Organic Social. Asset: .
87ff7232,e2c825ad,4b907b98,2025-04-01,Spring Nurture Email Series,Email,Submitted Form,Demo Video,email,organic,spring_nurture_email_series,7,Subscriber,Submitted Form from campaign 'Spring Nurture Email Series' via Email. Asset: Demo Video.
a923a385,e2c825ad,4b907b98,2025-02-07,Gartner Report Promo,Email,Opened Email,Gartner Magic Quadrant,email,organic,gartner_report_promo,7,Subscriber,Opened Email from campaign 'Gartner Report Promo' via Email. Asset: Gartner Magic Quadrant.
5ce71da5,e2c825ad,4b907b98,2025-02-07,LinkedIn Sponsored Post,Event,Attended Event,,event,organic,linkedin_sponsored_post,11,Subscriber,Attended Event from campaign 'LinkedIn Sponsored Post' via Event. Asset: .
776a6968,98cde960,beeebc7f,2025-03-13,LinkedIn Sponsored Post,Paid Ad,Viewed Ad,2025 Buying Guide,paid_ad,cpc,linkedin_sponsored_post,6,MQL,Viewed Ad from campaign 'LinkedIn Sponsored Post' via Paid Ad. Asset: 2025 Buying Guide.
fd2c4b53,98cde960,beeebc7f,2025-05-03,Gartner Report Promo,Email,Submitted Form,2025 Buying Guide,email,organic,gartner_report_promo,14,Subscriber,Submitted Form from campaign 'Gartner Report Promo' via Email. Asset: 2025 Buying Guide.
daf533fb,5ff6a7be,a5f973bc,2025-02-24,2025 Demand Gen Webinar,Webinar,Registered Webinar,,webinar,organic,2025_demand_gen_webinar,3,Subscriber,Registered Webinar from campaign '2025 Demand Gen Webinar' via Webinar. Asset: .
da289eb6,5ff6a7be,a5f973bc,2025-04-06,Gartner Report Promo,Webinar,Attended Webinar,,webinar,organic,gartner_report_promo,14,MQL,Attended Webinar from campaign 'Gartner Report Promo' via Webinar. Asset: .
aedcf545,fff45404,414d05bb,2025-02-24,Tech Conference 2025,Event,Attended Event,,event,organic,tech_conference_2025,5,MQL,Attended Event from campaign 'Tech Conference 2025' via Event. Asset: .
3cec34d0,fff45404,414d05bb,2025-01-22,AI for Marketers Guide,Paid Ad,Viewed Ad,2025 Buying Guide,paid_ad,cpc,ai_for_marketers_guide,15,MQL,Viewed Ad from campaign 'AI for Marketers Guide' via Paid Ad. Asset: 2025 Buying Guide.
3dbe5cd5,fff45404,414d05bb,2025-03-21,Tech Conference 2025,Organic Social,Viewed Organic Video,,organic_social,organic,tech_conference_2025,5,SQL,Viewed Organic Video from campaign 'Tech Conference 2025' via Organic Social. Asset: .
fb3916cd,fff45404,414d05bb,2025-01-25,Spring Nurture Email Series,Event,Registered Event,,event,organic,spring_nurture_email_series,13,MQL,Registered Event from campaign 'Spring Nurture Email Series' via Event. Asset: .
8c07a35b,fff45404,414d05bb,2025-03-01,LinkedIn Sponsored Post,Organic Social,Clicked LinkedIn Post,,organic_social,organic,linkedin_sponsored_post,5,Subscriber,Clicked LinkedIn Post from campaign 'LinkedIn Sponsored Post' via Organic Social. Asset: .
c3ef7573,dae17809,1e95bd67,2025-01-23,Tech Conference 2025,Website,Visited Pricing Page,Blog: AI in RevOps,website,organic,tech_conference_2025,13,Subscriber,Visited Pricing Page from campaign 'Tech Conference 2025' via Website. Asset: Blog: AI in RevOps.
d036d1ee,dae17809,1e95bd67,2025-04-10,2025 Demand Gen Webinar,Paid Ad,Clicked Ad,Blog: AI in RevOps,paid_ad,cpc,2025_demand_gen_webinar,12,Subscriber,Clicked Ad from campaign '2025 Demand Gen Webinar' via Paid Ad. Asset: Blog: AI in RevOps.
004c6922,dae17809,1e95bd67,2025-01-25,LinkedIn Sponsored Post,Email,Clicked Email,Gartner Magic Quadrant,email,organic,linkedin_sponsored_post,14,SQL,Clicked Email from campaign 'LinkedIn Sponsored Post' via Email. Asset: Gartner Magic Quadrant.
e4b5a335,dae17809,1e95bd67,2025-02-12,AI for Marketers Guide,Website,Visited Pricing Page,ROI Calculator,website,organic,ai_for_marketers_guide,10,SQL,Visited Pricing Page from campaign 'AI for Marketers Guide' via Website. Asset: ROI Calculator.
ca8c6a9a,dae17809,1e95bd67,2025-01-20,Spring Nurture Email Series,Organic Social,Viewed Organic Video,,organic_social,organic,spring_nurture_email_series,4,Subscriber,Viewed Organic Video from campaign 'Spring Nurture Email Series' via Organic Social. Asset: .
3afa7f0f,6841ea15,66ff51ff,2025-04-29,Spring Nurture Email Series,Email,Opened Email,Gartner Magic Quadrant,email,organic,spring_nurture_email_series,14,MQL,Opened Email from campaign 'Spring Nurture Email Series' via Email. Asset: Gartner Magic Quadrant.
380b6831,6841ea15,66ff51ff,2025-04-29,AI for Marketers Guide,Event,Attended Event,,event,organic,ai_for_marketers_guide,8,Lead,Attended Event from campaign 'AI for Marketers Guide' via Event. Asset: .
cbfb00a6,6841ea15,66ff51ff,2025-04-01,Spring Nurture Email Series,Webinar,Registered Webinar,,webinar,organic,spring_nurture_email_series,13,Subscriber,Registered Webinar from campaign 'Spring Nurture Email Series' via Webinar. Asset: .
